graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
0,Prim,5,4,228.0,14,3.6058
0,Kruskal,5,4,228.0,12,1.2443
1,Prim,5,4,228.0,14,0.018
1,Kruskal,5,4,228.0,12,0.0162
2,Prim,10,15,173.0,38,0.0433
2,Kruskal,10,15,173.0,34,0.0517
3,Prim,15,44,327.0,86,0.1467
3,Kruskal,15,44,327.0,74,0.107
4,Prim,20,46,431.0,99,0.0754
4,Kruskal,20,46,431.0,91,0.0911
5,Prim,25,69,454.0,143,0.0983
5,Kruskal,25,69,454.0,121,0.1243
6,Prim,30,88,463.0,180,0.1132
6,Kruskal,30,88,463.0,156,0.1065
7,Prim,60,161,1374.0,340,0.215
7,Kruskal,60,161,1374.0,333,0.2531
8,Prim,90,124,3518.0,329,0.2781
8,Kruskal,90,124,3518.0,330,0.1627
9,Prim,120,228,3319.0,543,0.2474
9,Kruskal,120,228,3319.0,549,0.2807
10,Prim,150,349,3877.0,765,0.242
10,Kruskal,150,349,3877.0,786,0.3706
11,Prim,180,428,3668.0,929,0.2308
11,Kruskal,180,428,3668.0,945,0.4086
12,Prim,210,439,5473.0,1012,0.2494
12,Kruskal,210,439,5473.0,1004,0.4132
13,Prim,240,579,5375.0,1268,0.3803
13,Kruskal,240,579,5375.0,1335,0.6748
14,Prim,270,802,5387.0,1611,0.3282
14,Kruskal,270,802,5387.0,1562,0.7832
15,Prim,300,323,14159.0,945,0.5559
15,Kruskal,300,323,14159.0,935,0.3261
16,Prim,370,599,12099.0,1497,0.3076
16,Kruskal,370,599,12099.0,1544,0.5829
17,Prim,440,1042,10206.0,2277,0.45
17,Kruskal,440,1042,10206.0,2219,0.9765
18,Prim,510,813,17153.0,2054,0.3768
18,Kruskal,510,813,17153.0,2122,0.7645
19,Prim,580,1297,14110.0,2897,0.5581
19,Kruskal,580,1297,14110.0,3051,0.9321
20,Prim,650,1488,15776.0,3276,0.6384
20,Kruskal,650,1488,15776.0,3431,1.2996
21,Prim,720,2014,13709.0,4141,1.3705
21,Kruskal,720,2014,13709.0,4388,1.7405
22,Prim,790,1317,25786.0,3265,0.9405
22,Kruskal,790,1317,25786.0,3380,0.9225
23,Prim,860,1736,23203.0,4021,0.7259
23,Kruskal,860,1736,23203.0,4173,1.1797
24,Prim,930,1371,33090.0,3573,0.6636
24,Kruskal,930,1371,33090.0,3598,1.0107
25,Prim,1000,1574,33450.0,4020,0.7843
25,Kruskal,1000,1574,33450.0,4083,1.1507
26,Prim,1300,1731,51557.0,4691,0.8877
26,Kruskal,1300,1731,51557.0,4705,1.3573
27,Prim,1600,1882,68526.0,5314,0.9702
27,Kruskal,1600,1882,68526.0,5339,1.3897
28,Prim,2000,2732,77962.0,7315,1.3385
28,Kruskal,2000,2732,77962.0,7443,2.0994
